"address","x","y","schoolname","schoolcode","id"
"کوردستان /  دهۆك / ئاکرێ / ئاکرێ","36.727603","43.881516","Aylul Primary School","306063","1"
"کوردستان /  دهۆك / ئاکرێ / ئاکرێ","36.668416","43.882582","Kali City Primary School","306064","2"
"کوردستان /  دهۆك / ئاکرێ / ئاکرێ","36.717393","43.873523","Paivin Primary School","306065","3"
"کوردستان /  دهۆك / ئاکرێ / ئاکرێ","36.723531","43.877617","Zalal Primary School","306066","4"
"کوردستان /  دهۆك / ئاکرێ / ئاکرێ","36.730607","43.855746","Kurdistan Primary School","306067","5"
"کوردستان /  دهۆك / ئاکرێ / ئاکرێ","36.751473","43.887896","omarkhoshan Nwe Primary School","306068","6"
"کوردستان /  دهۆك / ئاکرێ / ئاکرێ","36.732185","43.87801","Kochina Malafarzo Primary School","306069","7"
"کوردستان /  دهۆك / ئاکرێ / ئاکرێ","36.758427","43.898955","Malaye Jzeri Primary School","306070","8"
"کوردستان /  دهۆك / ئاکرێ / ئاکرێ","36.735312","43.87255","Mirzand Primary School","306071","9"
"کوردستان /  دهۆك / ئاکرێ / ئاکرێ","36.724437","43.864702","Alaye Primary School","306074","10"
"کوردستان /  دهۆك / ئاکرێ / ئاکرێ","36.731967","43.878584","Gulan Primary School","306075","11"
"کوردستان /  دهۆك / ئاکرێ / ئاکرێ","36.716074","43.824567","Mamosta Mekael Dhaher Primary School","306077","12"
"کوردستان /  دهۆك / ئاکرێ / ئاکرێ","36.755275","43.893035","Kani Zark Primary School","306078","13"
"کوردستان /  دهۆك / ئاکرێ / ئاکرێ","36.751695","43.838312","Koshina Primary School","306079","14"
"کوردستان /  دهۆك / ئاکرێ / ئاکرێ","36.749317","43.89427","Baware Primary School","306080","15"
"کوردستان /  دهۆك / ئاکرێ / ئاکرێ","36.752033","43.893379","Charchra Primary School","306083","16"
"کوردستان /  دهۆك / ئاکرێ / ئاکرێ","36.727074","43.865545","Sipa Primary School","306089","17"
"کوردستان /  دهۆك / ئاکرێ / ئاکرێ","36.801498","43.757699","Shush Primary School","306092","18"
"کوردستان /  دهۆك / ئاکرێ / ئاکرێ","36.732108","43.878634","Smaqok Primary School","306094","19"
"کوردستان /  دهۆك / ئاکرێ / ئاکرێ","36.755533","43.821012","Sosna Primary School","306096","20"
"کوردستان /  دهۆك / ئاکرێ / ئاکرێ","36.757223","43.813101",Sosna Nwe Primary School,"306097","21"
"کوردستان /  دهۆك / ئاکرێ / ئاکرێ","36.729864","43.872331","Rizgary Primary School","306106","22"
"کوردستان /  دهۆك / ئاکرێ / ئاکرێ","36.732084","43.878531","Roj halat Primary School","306107","23"
"کوردستان /  دهۆك / ئاکرێ / ئاکرێ","36.735319","43.880165","Kurdini Primary School","306111","24"
"کوردستان /  دهۆك / ئاکرێ / ئاکرێ","36.75354","43.895895","Faqi Taeran Primary School","306113","25"
"کوردستان /  دهۆك / ئاکرێ / ئاکرێ","36.75303","43.895399","Akre Primary School","306114","26"
"کوردستان /  دهۆك / ئاکرێ / ئاکرێ","36.729961","43.841957","Kochina Hassan Primary School","306115","27"
"کوردستان /  دهۆك / ئاکرێ / ئاکرێ","36.72327","43.886699","Sarwari Primary School","306116","28"
"کوردستان /  دهۆك / ئاکرێ / ئاکرێ","36.739498","43.872199","Shanaz Primary School For Boys","306132","29"
"کوردستان /  دهۆك / ئاکرێ / ئاکرێ","36.75","43.89","Akre Primary School For Girls Evening","306118","30"
